year,region,eolRecyclingMT,eolLandfillMT,eolIncinerationMT,eolMismanagedMT,consumptionAgricultureMT,consumptionConstructionMT,consumptionElectronicMT,consumptionHouseholdLeisureSportsMT,consumptionPackagingMT,consumptionTransportationMT,consumptionTextileMT,consumptionOtherMT,netImportsMT,netExportsMT,domesticProductionMT,netWasteExportMT,netWasteImportMT
2040,row,34.05015631187192,72.56595683878751,11.663203070819977,89.04440300040655,6.207546326256799,50.835472123906584,17.470478400743588,29.592854503016287,72.65986638593448,19.249368213736258,36.671460567189726,18.459503238292516,3.5730118457731628,0,247.57353791330308,0,1.7179541024251193
2041,row,34.7965983400094,73.63657776213701,11.909745713027364,90.55196529654947,6.275357138946758,51.73444254791313,17.68542377597882,29.900190529008306,73.6238038700661,19.528121624550014,37.083904686309346,18.83137360071594,3.8331466477965837,0,250.82947112569184,0,1.7584314968320407
2042,row,35.272496286350155,74.97725934718831,12.092749308712202,92.05687784073227,6.337350811292864,52.57673201061783,17.86486131672696,30.208648606577196,74.52569968123362,19.707676075827262,37.345949155149974,19.15154993815979,4.194063434734961,0,253.5244041608505,0,1.8274937736681856
2043,row,36.10741269761591,76.094416195959,12.222473056874868,93.33718968671928,6.3906314126602295,53.32102028755395,18.031643825454083,30.4446708626888,75.27301461362822,19.91008413134236,37.657358185684664,19.557935562010694,3.964596025282965,0,256.62176285574003,0,1.891151860361647
2044,row,36.40024757885859,77.28708275544585,12.406483206526977,94.99705959121539,6.45242471525453,53.942133505598214,18.288035725194064,30.78794514536948,76.10343448931866,20.090053446266047,37.9192370587402,19.958096562141016,3.6396963677270806,0,259.90166428015516,0,1.8011405642085005
2045,row,36.966393367208745,78.31034531585776,12.595761859140037,96.38819210265447,6.4795774410639755,54.735515014794025,18.377985207051452,30.685660209194317,76.62331134399008,20.146275800373704,37.997933775799964,20.27760252097603,3.546696873895693,0,261.7771644393478,0,1.5161348648310984
2046,row,37.346546873842975,79.36522941816062,12.79490919886777,97.90390388244074,6.535373693415262,55.54976208874716,18.56494558547197,30.908165708532067,77.44022182910702,20.332138565696855,38.28334703173736,20.661612694835007,3.7317600580699666,0,264.5438071394727,0,1.2749156554199759
2047,row,36.64794995107055,80.98156724276274,13.051437055732132,99.86735031832566,6.588661862994971,56.345885012241226,18.746154807962778,31.11379828283168,78.2265790472221,20.497589182694252,38.52831443108145,21.048111025387072,2.0902880214669404,0,269.0048056309485,0,0.746499835762961
2048,row,36.67813997966048,82.32869631339531,13.227881842523738,101.31934722432844,6.640160549021973,57.13144712539065,18.927083491404193,31.24069803119526,78.98849567255289,20.66005712651992,38.769740160255225,21.60200841339918,2.1247776475902866,0,271.834912922149,0,0.5825241763437103
2049,row,37.11280911597589,83.38870887272549,13.398195736880027,102.6354235188238,6.691190617194497,57.92602660844336,19.11226955475785,31.37691849077562,79.75358488746802,20.813054166723006,38.99555664047123,22.036771017972477,2.0100609779682967,0,274.69531100583777,0,0.6002532132086359
