years,popChange,gdpChange,afterGdp,afterPopulation,flagChina,flagEU30,flagNafta,flagRow,flagArticles,flagFibers,flagGoods,flagResin,beforePercent,afterPercent,beforeYear,afterYear,beforeTotalConsumption,afterTotalConsumption
3,0.0200812908143202,0.301022373778532,12158.3774277246,1343.698,1,0,0,0,0,1,0,0,-0.0982355284636492,-0.149194367693808,2007,2010,65.3531375094667,85.5930434733828
3,0.0200812908143202,0.301022373778532,12158.3774277246,1343.698,1,0,0,0,0,0,1,0,-0.0452923931857323,-0.0648417181441375,2007,2010,65.3531375094667,85.5930434733828
3,0.0200812908143202,0.301022373778532,12158.3774277246,1343.698,1,0,0,0,0,0,0,1,0.231970500235035,0.232378697997639,2007,2010,65.3531375094667,85.5930434733828
3,0.0128641732283465,-0.011491350458728,328.36639864608,514.535,0,1,0,0,1,0,0,0,0.0275316379797713,0.0295476511899918,2007,2010,89.714967261113,87.6550214887223
3,0.0128641732283465,-0.011491350458728,328.36639864608,514.535,0,1,0,0,0,1,0,0,0.0465920027349976,0.0595516367612962,2007,2010,89.714967261113,87.6550214887223
3,0.0128641732283465,-0.011491350458728,328.36639864608,514.535,0,1,0,0,0,0,1,0,0.0100317709238033,0.00581826336173583,2007,2010,89.714967261113,87.6550214887223
3,0.0128641732283465,-0.011491350458728,328.36639864608,514.535,0,1,0,0,0,0,0,1,-0.0255252837950107,-0.00844218605428336,2007,2010,89.714967261113,87.6550214887223
3,0.031411086852142,-0.0236636143519796,1927.61361080059,455.401,0,0,1,0,1,0,0,0,0.0445644310471808,0.0808783091786748,2007,2010,77.4160001357911,75.1746674942002
3,0.031411086852142,-0.0236636143519796,1927.61361080059,455.401,0,0,1,0,0,1,0,0,0.0546398676317608,0.0540075551423388,2007,2010,77.4160001357911,75.1746674942002
3,0.031411086852142,-0.0236636143519796,1927.61361080059,455.401,0,0,1,0,0,0,1,0,0.0517980778258536,0.0699703793223404,2007,2010,77.4160001357911,75.1746674942002
3,0.031411086852142,-0.0236636143519796,1927.61361080059,455.401,0,0,1,0,0,0,0,1,-0.0803451481488303,-0.107483016145344,2007,2010,77.4160001357911,75.1746674942002
3,0.0479371660605439,0.026864634814689,1550.13237273288,4628.313,0,0,0,1,1,0,0,0,0.0232505842974984,0.0244429392926796,2007,2010,112.685340139254,114.552508046304
3,0.0479371660605439,0.026864634814689,1550.13237273288,4628.313,0,0,0,1,0,1,0,0,-0.0177485376316782,0.0303790816923304,2007,2010,112.685340139254,114.552508046304
3,0.0479371660605439,0.026864634814689,1550.13237273288,4628.313,0,0,0,1,0,0,1,0,-0.0173048241908862,-0.00183322044695097,2007,2010,112.685340139254,114.552508046304
3,0.0479371660605439,0.026864634814689,1550.13237273288,4628.313,0,0,0,1,0,0,0,1,-0.0590138876253299,-0.0965496102060846,2007,2010,112.685340139254,114.552508046304
