alpha,degree,depth,estimators,kernel,max_features,testInSampleResponse,testInSampleTarget,testOutSampleResponse,testOutSampleTarget,trainInSampleResponse,trainInSampleTarget,trainOutSampleResponse,trainOutSampleTarget,type,validInSampleResponse,validInSampleTarget,validOutSampleResponse,validOutSampleTarget
,,12,15,,sqrt,0.09737823965941285,1.0418173746674269,0.08828125836843478,1.2217400813735033,0.06438236313852216,0.6554385675720431,0.06441414792523772,0.6295458948089417,random forest,0.09450607984876856,1.0670691910695391,0.08828125836843478,1.2217400813735033
,,12,15,,log2,0.09576379154203504,1.0268270332325469,0.08555843102027653,1.1827585075557865,0.06448818796255598,0.6577721775711152,0.06355004492491872,0.6193984014314736,random forest,0.09667134573200417,1.0469197341868497,0.08555843102027653,1.1827585075557865
,,12,20,,1,0.0983238234903715,1.065257153330242,0.0896146415800195,1.250834246007413,0.06624576271705636,0.6664241938360931,0.06752826169580452,0.6418420700362387,random forest,0.101788205369558,1.1386629433386664,0.0896146415800195,1.250834246007413
,,12,20,,sqrt,0.09614208480591051,1.024634441585027,0.08359249448711861,1.1625655867707747,0.06459992908754199,0.6589571370218329,0.062223283520283036,0.6194622372526505,random forest,0.09798208966226013,1.0636199891932954,0.08359249448711861,1.1625655867707747
,,12,20,,log2,0.09585879472805826,1.0123916642609805,0.08326260440537592,1.170800771626836,0.06263140138345603,0.6454908546524493,0.06423084351181109,0.6113467889256547,random forest,0.09544270938708016,1.052714775771927,0.08326260440537592,1.170800771626836
,,12,25,,1,0.09857340114166506,1.0607628160048674,0.08635768365408159,1.208507176728768,0.06761975406892443,0.6834875295601457,0.06550091543879205,0.6395407841126857,random forest,0.09896759263530262,1.1014742705920149,0.08635768365408159,1.208507176728768
,,12,25,,sqrt,0.09562761520498997,1.0160436055957938,0.08399321834545467,1.1743227239622587,0.06386272454807693,0.6532515557403309,0.06279517617495543,0.6257740547025992,random forest,0.09656910238697758,1.053355243089346,0.08399321834545467,1.1743227239622587
,,12,25,,log2,0.0944252463243905,1.0015811690940761,0.08385396883016001,1.1855539931783907,0.06220109400426773,0.6359268852131184,0.06218561968200006,0.607242883307196,random forest,0.09739464377925146,1.0585393886231136,0.08385396883016001,1.1855539931783907
,,12,30,,1,0.0962661176841325,1.053319764546499,0.08581273845965605,1.2281889103830153,0.0672366061542843,0.6834192259975018,0.06611490944191974,0.6248160044937495,random forest,0.09847860945576964,1.1204991626723113,0.08581273845965605,1.2281889103830153
,,12,30,,sqrt,0.09491163488798803,1.0046083868793805,0.08552729760018032,1.1983566184659253,0.06298369967357227,0.6480107848336834,0.06213501801797216,0.6040400296129972,random forest,0.09607723408850426,1.0360769278900839,0.08552729760018032,1.1983566184659253
,,12,30,,log2,0.0939903055714901,1.0072072244714743,0.08833041082908388,1.2091097902302703,0.06401410257485385,0.6479248899719413,0.06258304136936466,0.6154866110986779,random forest,0.09529137059982233,1.042823519947115,0.08833041082908388,1.2091097902302703
,,13,5,,1,0.10593650431513947,1.1474695255364438,0.08675282626883464,1.2083433831538368,0.06477761030635673,0.6451865793350929,0.06836203327448569,0.6343583734038105,random forest,0.1078343814273266,1.1945172121629466,0.08675282626883464,1.2083433831538368
,,13,5,,sqrt,0.10280115090152661,1.097259900917041,0.08718930646260317,1.2522623830542696,0.06088566736223479,0.6483205103466732,0.062304981270363526,0.6041619297366657,random forest,0.1073307366338117,1.138091184281843,0.08718930646260317,1.2522623830542696
,,13,5,,log2,0.10183631275291889,1.0783480327438915,0.09856167827429622,1.3382585490431236,0.062053926358253006,0.6441841583899126,0.06105987896462211,0.6173173542961146,random forest,0.10323121477278302,1.0913445218808169,0.09856167827429622,1.3382585490431236
,,13,10,,1,0.1017415107527766,1.0892536347407462,0.08935925132304001,1.2553556727422783,0.06194747678408612,0.635362371578533,0.06280496962437307,0.5863931941076145,random forest,0.10309961626120961,1.1113719684326575,0.08935925132304001,1.2553556727422783
,,13,10,,sqrt,0.10037340546431288,1.0777024902568513,0.08979936705710087,1.2221160514913696,0.0598121664583918,0.596946186038262,0.05960022743255251,0.5884055344753961,random forest,0.09928990613854127,1.0906177640310382,0.08979936705710087,1.2221160514913696
,,13,10,,log2,0.09881368075671762,1.0636475274287387,0.09091778869984739,1.2756249782335602,0.06327326564040266,0.6353030082546969,0.05800624073532468,0.5633411875909173,random forest,0.10078613505486227,1.1022337762595027,0.09091778869984739,1.2756249782335602
,,13,15,,1,0.09931862952171383,1.054640758386118,0.08709783455839415,1.2105715073598855,0.060218552839140724,0.6046762844391241,0.0597882394924708,0.5615143897462644,random forest,0.10452567549568058,1.144977213264634,0.08709783455839415,1.2105715073598855
,,13,15,,sqrt,0.09570952780680286,1.039703193928292,0.09399674251774823,1.2957718347459237,0.057540842247990935,0.5832935793697609,0.05740194335801945,0.5523744002642914,random forest,0.09960205209660401,1.0859840861096952,0.09399674251774823,1.2957718347459237
,,13,15,,log2,0.09624645149786111,1.0234779599524797,0.08813867400869098,1.226394744852416,0.05971362046915936,0.612060159912157,0.05810086781218686,0.5647560678289192,random forest,0.09749456120089475,1.0669446845263828,0.08813867400869098,1.226394744852416
,,13,20,,1,0.09765222867020391,1.0394609852615946,0.08773762227540247,1.210375320058026,0.05968646770924661,0.6117834117097848,0.05969833366719103,0.5783270689976295,random forest,0.10140535055314388,1.114574312630613,0.08773762227540247,1.210375320058026
,,13,20,,sqrt,0.09586458319313139,1.0059857379982018,0.08971997028075186,1.2533654346440697,0.057783284275669346,0.5941977338442616,0.05761915564531216,0.5589101840014792,random forest,0.09591331845714654,1.047010172860221,0.08971997028075186,1.2533654346440697
,,13,20,,log2,0.09693276101435865,1.0434840064831108,0.08702821038491078,1.2066949760647552,0.05782070011825474,0.5944964551055243,0.056230540265516035,0.5493582004560487,random forest,0.09890528878276986,1.0926237407332415,0.08702821038491078,1.2066949760647552
,,13,25,,1,0.09816520383845934,1.059289524502239,0.08571563928380733,1.1886694666384194,0.059093417723320746,0.6051186396011619,0.0598954649422356,0.5836278650742309,random forest,0.0974415241878028,1.0971763479102785,0.08571563928380733,1.1886694666384194
,,13,25,,sqrt,0.09491697046763342,1.0073999596602907,0.08787382665450826,1.2181245274565973,0.05730557384467003,0.5862654426035773,0.05580747097480258,0.5434499080439964,random forest,0.09652065967341654,1.0562243322345235,0.08787382665450826,1.2181245274565973
,,13,25,,log2,0.09820944514594146,1.0638887804306352,0.0891760787913313,1.2316563543037322,0.056741400737379134,0.5811084190561954,0.0554648190278874,0.54019433669067,random forest,0.09822907726725237,1.0664931020635449,0.0891760787913313,1.2316563543037322
,,13,30,,1,0.09714485579046499,1.0451152533170307,0.08700307801322812,1.2107061130070285,0.05979923717928805,0.5985598772819858,0.05961057655475923,0.5729774521918265,random forest,0.1022502352201338,1.129458543391011,0.08700307801322812,1.2107061130070285
,,13,30,,sqrt,0.09586078426307902,1.0262000553570811,0.08732112897442071,1.2136880545692819,0.05740793098789454,0.5905220252521274,0.056379082336324195,0.5476475442178675,random forest,0.0957524529034902,1.054419601743652,0.08732112897442071,1.2136880545692819
,,13,30,,log2,0.0960315141871802,1.0170596900548905,0.08840408418483622,1.2182620323275806,0.056815360026918914,0.578969582827266,0.05624877397677153,0.5448339669649297,random forest,0.09662195535672359,1.064785498866083,0.08840408418483622,1.2182620323275806
,,14,5,,1,0.10350917237247606,1.115936275453288,0.09447722528257545,1.3349928104917075,0.059724059121572554,0.5915891046600018,0.05851306003165634,0.5687776034212754,random forest,0.1093832611199595,1.175130150821292,0.09447722528257545,1.3349928104917075
,,14,5,,sqrt,0.0997621413119775,1.0529019353778062,0.09198262809616897,1.25041498614641,0.0575431363306114,0.5842191191417953,0.05809321935625723,0.5728327914416524,random forest,0.09697040049208269,1.05401991585328,0.09198262809616897,1.25041498614641
,,14,5,,log2,0.10199724907539759,1.0905803239953857,0.10195592198506916,1.360865365712113,0.06080688566640049,0.6268393426919706,0.057459394004897454,0.5513204258874586,random forest,0.10012856098734325,1.1293211741235831,0.10195592198506916,1.360865365712113
,,14,10,,1,0.10401731246523624,1.1163568979454532,0.0900456964011899,1.2788652544082069,0.05694355630192147,0.581337898233365,0.05561652981000295,0.5306520943284789,random forest,0.10471875025469167,1.1525789406477314,0.0900456964011899,1.2788652544082069
,,14,10,,sqrt,0.09916513124126604,1.0766383035992688,0.09242883582679019,1.2745277115080809,0.054994490466198594,0.5514019229870472,0.05512698518358034,0.5268973276650666,random forest,0.09946105227302546,1.0828865247460402,0.09242883582679019,1.2745277115080809
,,14,10,,log2,0.09767886251474425,1.0767287102655667,0.09754588380502302,1.306757797842884,0.05538825004501855,0.5608267131803597,0.05215116128633362,0.5293961257338454,random forest,0.10532104654455257,1.1200623966025491,0.09754588380502302,1.306757797842884
,,14,15,,1,0.09844923958720225,1.0555938594344902,0.09477016060356439,1.3379465100917798,0.05549636821174436,0.5516206043865152,0.05474113501210798,0.5245018852321455,random forest,0.10093960630927805,1.119388040704001,0.09477016060356439,1.3379465100917798
,,14,15,,sqrt,0.09819123635061791,1.0577520566403378,0.08769422800143074,1.2371111598333682,0.05430854814437406,0.5464464924045345,0.05333390757024428,0.5226078780830686,random forest,0.0973975941414995,1.0571516774137615,0.08769422800143074,1.2371111598333682
,,14,15,,log2,0.09877940827680881,1.0447931349760364,0.09050200296419668,1.2619346333492143,0.05320889243651699,0.5518976231064979,0.052380763901692336,0.5099432391874011,random forest,0.09804362021641305,1.07100418978567,0.09050200296419668,1.2619346333492143
,,14,20,,1,0.098689149947099,1.0604273441905665,0.0867015652728057,1.2115456974117564,0.05565967528014073,0.5673142380422654,0.05547302281245515,0.5307173364701915,random forest,0.10265929500717727,1.1537395702537965,0.0867015652728057,1.2115456974117564
