year,region,eolRecyclingMT,eolLandfillMT,eolIncinerationMT,eolMismanagedMT,consumptionAgricultureMT,consumptionConstructionMT,consumptionElectronicMT,consumptionHouseholdLeisureSportsMT,consumptionPackagingMT,consumptionTransportationMT,consumptionTextileMT,consumptionOtherMT,netImportsMT,netExportsMT,domesticProductionMT,netWasteExportMT,netWasteImportMT
2050,row,74.81825170767941,19.40703210314561,9.710723839511175,127.07298256115907,6.311538853614274,55.58397376328096,13.28635455811649,28.726363945810455,73.37159363653078,15.170403703514673,41.38788582369085,20.138652174890137,24.807089331527283,0,229.1696771279213,0,22.087515672733886
2022,china,62.08728928097251,-27.79881418877569,79.76300120033575,37.16913571656867,11.543565617675249,25.199277729440468,23.057768430296875,17.285096343752343,65.18916673919844,12.763736273078251,55.57457979652622,10.29149158234178,0,23.23040529083354,244.1350878031432,2.3605409694427095,0
2023,china,82.89341712477143,-89.53858144397188,101.8944832529997,67.88920251007066,12.24313105209013,24.749361482836292,25.065158573071926,18.790623626746893,68.95051090765762,13.570917462837627,60.61103815563371,10.777922680826872,0,17.45441791927803,252.2130818609791,2.4492740083729565,0
2024,china,110.25678009576794,-175.5582921600371,130.31952144724067,110.93381667437512,12.916273930549917,24.245711827328222,27.019669977082685,20.252129979191018,72.55582803313392,14.347282479807237,65.52441722174768,11.233933939516977,0,15.392539539375274,263.48778692773294,2.512991047988244,0
2025,china,145.45231683777908,-291.9791204190455,166.44275782419584,169.18768342051845,13.584379717870977,23.683043574702992,28.97992104259626,21.714101079174206,76.12177273355789,15.117545954247891,70.46063969565643,11.675837894790913,0,14.19838115919596,275.5356228517935,2.6028647258696367,0
2026,china,189.57067556922397,-433.73949179710894,201.45459542287597,245.15069218169538,14.251786335213168,23.072859157100652,30.953723626893208,23.1832772804611,79.67448990963794,15.886779598148802,75.43736701999762,12.109085352379257,0,13.768237101459341,288.3376053812911,2.7565575756218763,0
2027,china,244.55119070926168,-614.6941561249158,243.65739605345627,342.58801703781626,14.92158006703825,22.39596551057295,32.95551525434706,24.66942525186144,83.22717670805395,16.6584644250851,80.49315594430863,12.532891126777113,0,13.821399462031692,301.6755737500762,2.9806249916675043,0
2028,china,312.06308255666465,-841.0692451612626,294.148158461512,464.992831852707,15.592924192447938,21.65278039106508,34.98293401189774,26.17076615243328,86.77531058200734,17.431634439580982,85.62209685037737,12.94665291469867,0,13.925793602078937,315.1008931365874,3.2554581273867313,0
2029,china,392.9365206503142,-1116.5618575329727,353.5982052099735,614.4611181388556,16.26114859734182,20.863873484009105,37.016881486644195,27.67405976341061,90.29724929763663,18.200982819469587,90.77389046448155,13.350115593216113,0,14.063110901552179,328.5013124077618,3.573873835063793,0
2030,china,487.799604527028,-1444.071215054595,422.48972818626225,792.6519481611901,16.92294421906868,20.042452187803775,39.044268826201474,29.17017288901826,93.77738806539213,18.96274299467708,95.91419494586873,13.742865458818667,0,14.213592169670363,341.79062175651916,3.9245593623670914,0
