years,popChange,gdpChange,afterGdp,afterPopulation,flagChina,flagEU30,flagNafta,flagRow,flagAgriculture,flagConstruction,flagElectronic,flagHouseholdLeisureSports,flagOther,flagPackaging,flagTextile,flagTransportation,consumptionChange,beforeConsumptionMT,afterConsumptionMT,beforeYear,afterYear
2,-0.00662927769544438,0.01291909099753,321.038420497197,512.773,0,1,0,0,0,0,0,0,1,0,0,0,-0.118191222643992,8.40416457097436,7.41086608502958,2011,2009
2,-0.00662927769544438,0.01291909099753,321.038420497197,512.773,0,1,0,0,0,0,0,0,0,1,0,0,-0.019929070773463,33.6032195616442,32.933538620784,2011,2009
2,-0.00662927769544438,0.01291909099753,321.038420497197,512.773,0,1,0,0,0,0,0,0,0,0,1,0,0.0832251980198931,5.9344276203849,6.42832153422615,2011,2009
2,-0.0196692299497562,-0.0638919456192616,1833.75962626886,450.91,0,0,1,0,1,0,0,0,0,0,0,0,-0.11564742610805,0.656975276222848,0.580997776511051,2011,2009
2,-0.0196692299497562,-0.0638919456192616,1833.75962626886,450.91,0,0,1,0,0,1,0,0,0,0,0,0,-0.0484216893254925,11.7503868974946,11.1814133136898,2011,2009
2,-0.0196692299497562,-0.0638919456192616,1833.75962626886,450.91,0,0,1,0,0,0,1,0,0,0,0,0,0.0778904506474104,4.25314589366607,4.5844253439929,2011,2009
2,-0.0196692299497562,-0.0638919456192616,1833.75962626886,450.91,0,0,1,0,0,0,0,1,0,0,0,0,-0.0150258433745058,14.9698155032183,14.7448814001217,2011,2009
2,-0.0196692299497562,-0.0638919456192616,1833.75962626886,450.91,0,0,1,0,0,0,0,0,1,0,0,0,0.148689018948827,4.19775451247084,4.82191451271815,2011,2009
2,-0.0196692299497562,-0.0638919456192616,1833.75962626886,450.91,0,0,1,0,0,0,0,0,0,1,0,0,-0.00781917602636129,24.4283116978605,24.2373024286681,2011,2009
2,-0.0196692299497562,-0.0638919456192616,1833.75962626886,450.91,0,0,1,0,0,0,0,0,0,0,1,0,0.0276659448953357,4.66398117587517,4.79301462207982,2011,2009
2,-0.0306355015680489,-0.104970759426855,1441.30717663338,4556.429,0,0,0,1,1,0,0,0,0,0,0,0,-0.113089522896159,3.44427721102467,3.05476554450777,2011,2009
2,-0.0306355015680489,-0.104970759426855,1441.30717663338,4556.429,0,0,0,1,0,1,0,0,0,0,0,0,-0.0999703483826163,23.4464443277177,21.1024951199421,2011,2009
2,-0.0306355015680489,-0.104970759426855,1441.30717663338,4556.429,0,0,0,1,0,0,1,0,0,0,0,0,-0.401520790298429,10.0207075620342,5.99718514237681,2011,2009
2,-0.0306355015680489,-0.104970759426855,1441.30717663338,4556.429,0,0,0,1,0,0,0,1,0,0,0,0,-0.112665155593047,16.1426661604502,14.3239501657965,2011,2009
2,-0.0306355015680489,-0.104970759426855,1441.30717663338,4556.429,0,0,0,1,0,0,0,0,1,0,0,0,-0.0917362450875902,10.4302532110523,9.47342094615758,2011,2009
2,-0.0306355015680489,-0.104970759426855,1441.30717663338,4556.429,0,0,0,1,0,0,0,0,0,1,0,0,-0.105944153855673,40.4474996627074,36.1623235353643,2011,2009
2,-0.0306355015680489,-0.104970759426855,1441.30717663338,4556.429,0,0,0,1,0,0,0,0,0,0,1,0,-0.206717792302818,9.34171468971201,7.41061605273194,2011,2009
2,-0.0130796338760167,-0.142514573827661,12158.3774277246,1343.698,1,0,0,0,1,0,0,0,0,0,0,0,-0.110229916339668,5.5609136365648,4.94793459163415,2012,2010
2,-0.0130796338760167,-0.142514573827661,12158.3774277246,1343.698,1,0,0,0,0,1,0,0,0,0,0,0,-0.0490563771311248,16.295283781407,15.4958961947676,2012,2010
2,-0.0130796338760167,-0.142514573827661,12158.3774277246,1343.698,1,0,0,0,0,0,1,0,0,0,0,0,-0.0176362416388858,8.30305050179676,8.1566158968072,2012,2010
2,-0.0130796338760167,-0.142514573827661,12158.3774277246,1343.698,1,0,0,0,0,0,0,1,0,0,0,0,-0.237110596024097,6.36253970852556,4.85391412601008,2012,2010
2,-0.0130796338760167,-0.142514573827661,12158.3774277246,1343.698,1,0,0,0,0,0,0,0,1,0,0,0,-0.71556864869949,3.68059667818276,1.04687708676769,2012,2010
2,-0.0130796338760167,-0.142514573827661,12158.3774277246,1343.698,1,0,0,0,0,0,0,0,0,1,0,0,-0.11032497860134,30.3616052270791,27.0119617800993,2012,2010
2,-0.0130796338760167,-0.142514573827661,12158.3774277246,1343.698,1,0,0,0,0,0,0,0,0,0,1,0,-0.0566767334106448,5.56076631290241,5.24560024302715,2012,2010
