alpha,degree,depth,estimators,kernel,max_features,testInSampleResponse,testInSampleTarget,testOutSampleResponse,testOutSampleTarget,trainInSampleResponse,trainInSampleTarget,trainOutSampleResponse,trainOutSampleTarget,type,validInSampleResponse,validInSampleTarget,validOutSampleResponse,validOutSampleTarget
0.4,2,,,rbf,,0.055945942350728466,0.05594594235072846,0.05920446294602223,0.059204462946022225,0.05398345708824646,0.05398345708824646,0.053851983209744075,0.053851983209744075,svr,0.053121605877666345,0.053121605877666345,0.05920446294602223,0.059204462946022225
0.6,2,,,rbf,,0.055983264873739336,0.05598326487373934,0.05959492713829896,0.05959492713829896,0.0540611435199265,0.0540611435199265,0.053861900770424895,0.053861900770424895,svr,0.05315312376449605,0.05315312376449605,0.05959492713829896,0.05959492713829896
0.8,2,,,rbf,,0.0562312993549009,0.0562312993549009,0.0597374496819697,0.059737449681969694,0.05435466413133474,0.05435466413133474,0.05387531793272318,0.05387531793272318,svr,0.05328133508673537,0.05328133508673537,0.0597374496819697,0.059737449681969694
0,3,,,rbf,,0.055945942350728466,0.05594594235072846,0.05931002083430539,0.05931002083430538,0.05398345708824646,0.05398345708824646,0.053825350228420644,0.053825350228420644,svr,0.053121605877666345,0.053121605877666345,0.05931002083430539,0.05931002083430538
0.2,3,,,rbf,,0.055945942350728466,0.05594594235072846,0.05928367125659144,0.05928367125659144,0.05398345708824646,0.05398345708824646,0.053881559603503486,0.053881559603503486,svr,0.053121605877666345,0.053121605877666345,0.05928367125659144,0.05928367125659144
0.4,3,,,rbf,,0.055945942350728466,0.05594594235072846,0.05920446294602223,0.059204462946022225,0.05398345708824646,0.05398345708824646,0.053851983209744075,0.053851983209744075,svr,0.053121605877666345,0.053121605877666345,0.05920446294602223,0.059204462946022225
0.6,3,,,rbf,,0.055983264873739336,0.05598326487373934,0.05959492713829896,0.05959492713829896,0.0540611435199265,0.0540611435199265,0.053861900770424895,0.053861900770424895,svr,0.05315312376449605,0.05315312376449605,0.05959492713829896,0.05959492713829896
0.8,3,,,rbf,,0.0562312993549009,0.0562312993549009,0.0597374496819697,0.059737449681969694,0.05435466413133474,0.05435466413133474,0.05387531793272318,0.05387531793272318,svr,0.05328133508673537,0.05328133508673537,0.0597374496819697,0.059737449681969694
0,4,,,rbf,,0.055945942350728466,0.05594594235072846,0.05931002083430539,0.05931002083430538,0.05398345708824646,0.05398345708824646,0.053825350228420644,0.053825350228420644,svr,0.053121605877666345,0.053121605877666345,0.05931002083430539,0.05931002083430538
0.2,4,,,rbf,,0.055945942350728466,0.05594594235072846,0.05928367125659144,0.05928367125659144,0.05398345708824646,0.05398345708824646,0.053881559603503486,0.053881559603503486,svr,0.053121605877666345,0.053121605877666345,0.05928367125659144,0.05928367125659144
0.4,4,,,rbf,,0.055945942350728466,0.05594594235072846,0.05920446294602223,0.059204462946022225,0.05398345708824646,0.05398345708824646,0.053851983209744075,0.053851983209744075,svr,0.053121605877666345,0.053121605877666345,0.05920446294602223,0.059204462946022225
0.6,4,,,rbf,,0.055983264873739336,0.05598326487373934,0.05959492713829896,0.05959492713829896,0.0540611435199265,0.0540611435199265,0.053861900770424895,0.053861900770424895,svr,0.05315312376449605,0.05315312376449605,0.05959492713829896,0.05959492713829896
0.8,4,,,rbf,,0.0562312993549009,0.0562312993549009,0.0597374496819697,0.059737449681969694,0.05435466413133474,0.05435466413133474,0.05387531793272318,0.05387531793272318,svr,0.05328133508673537,0.05328133508673537,0.0597374496819697,0.059737449681969694
,,2,,,,0.040995593986217105,0.0409955939862171,0.04089438962323151,0.04089438962323151,0.04273439675475748,0.04273439675475749,0.041471501107502806,0.041471501107502806,tree,0.04270843048954038,0.042708430489540386,0.04089438962323151,0.04089438962323151
,,3,,,,0.031788181489086346,0.031788181489086346,0.030713021400880447,0.03071302140088045,0.031879261386136504,0.031879261386136504,0.034124213718600284,0.034124213718600284,tree,0.034177279706656134,0.03417727970665614,0.030713021400880447,0.03071302140088045
,,4,,,,0.02887268811827001,0.028872688118270012,0.029127761327373363,0.029127761327373363,0.026643099950287134,0.02664309995028713,0.02713244773593592,0.02713244773593592,tree,0.027480049031639347,0.027480049031639347,0.029127761327373363,0.029127761327373363
,,5,,,,0.02810375712461276,0.028103757124612758,0.025856002148242817,0.025856002148242817,0.02483270734373056,0.02483270734373056,0.024920437447559302,0.0249204374475593,tree,0.026400108710011163,0.026400108710011166,0.025856002148242817,0.025856002148242817
,,6,,,,0.026468911522821808,0.026468911522821804,0.02527092889590391,0.025270928895903908,0.022502862727660573,0.022502862727660573,0.02237025450981694,0.022370254509816938,tree,0.024598733635158167,0.02459873363515817,0.02527092889590391,0.025270928895903908
,,7,,,,0.023987452405701437,0.023987452405701434,0.02514140275759481,0.02514140275759481,0.019377817014404043,0.019377817014404046,0.019856874514263306,0.019856874514263302,tree,0.023583542413536374,0.023583542413536378,0.02514140275759481,0.02514140275759481
,,8,,,,0.0224311864449466,0.022431186444946596,0.026328764913431373,0.026328764913431377,0.016540584845279604,0.016540584845279607,0.01765378138596109,0.01765378138596109,tree,0.02202196858590143,0.022021968585901434,0.026328764913431373,0.026328764913431377
,,9,,,,0.02206389389521035,0.022063893895210355,0.022721572294974787,0.022721572294974787,0.01402980015310414,0.01402980015310414,0.015295336695351812,0.01529533669535181,tree,0.021148947734931662,0.021148947734931662,0.022721572294974787,0.022721572294974787
,,10,,,,0.020900812832977622,0.020900812832977622,0.02140476819173667,0.02140476819173667,0.01139903748543409,0.01139903748543409,0.012758304253423244,0.012758304253423244,tree,0.020587202336449405,0.02058720233644941,0.02140476819173667,0.02140476819173667
,,11,,,,0.020978884834438147,0.020978884834438147,0.021666464701344573,0.021666464701344573,0.008999823805701418,0.008999823805701418,0.009861212377228023,0.009861212377228023,tree,0.020320021050100917,0.020320021050100914,0.021666464701344573,0.021666464701344573
,,12,,,,0.02007235334740951,0.020072353347409512,0.019748483648119805,0.019748483648119805,0.00684579149520022,0.00684579149520022,0.007676154996462069,0.00767615499646207,tree,0.020014785210066038,0.020014785210066038,0.019748483648119805,0.019748483648119805
,,13,,,,0.018887221367828774,0.01888722136782877,0.02079169849766544,0.020791698497665444,0.004980353087843219,0.004980353087843219,0.005922859245422139,0.005922859245422139,tree,0.019933647470180706,0.019933647470180702,0.02079169849766544,0.020791698497665444
,,14,,,,0.018797679915111984,0.01879767991511198,0.021230548742427167,0.021230548742427167,0.0036579154166983202,0.0036579154166983202,0.004657457968057927,0.0046574579680579275,tree,0.019742019410131893,0.01974201941013189,0.021230548742427167,0.021230548742427167
,,15,,,,0.01902515580014461,0.01902515580014461,0.020586995848785435,0.020586995848785435,0.0027145258897386735,0.002714525889738673,0.003354870654967146,0.0033548706549671454,tree,0.02049006952892731,0.020490069528927315,0.020586995848785435,0.020586995848785435
,,16,,,,0.019901633875220072,0.019901633875220072,0.021032364438886543,0.021032364438886543,0.00198697956764127,0.00198697956764127,0.002306018108546037,0.002306018108546037,tree,0.020258346950275105,0.020258346950275105,0.021032364438886543,0.021032364438886543
,,17,,,,0.018913221392696022,0.01891322139269602,0.02068080550710406,0.02068080550710406,0.0015072561430638457,0.001507256143063846,0.0016691989771167827,0.0016691989771167824,tree,0.020103432661320312,0.020103432661320312,0.02068080550710406,0.02068080550710406
,,18,,,,0.0188527238256728,0.018852723825672796,0.020236511285221394,0.02023651128522139,0.0010921645756208807,0.0010921645756208805,0.0011067454552868422,0.0011067454552868422,tree,0.01990993750222188,0.019909937502221885,0.020236511285221394,0.02023651128522139
,,19,,,,0.01956504371635868,0.01956504371635868,0.021383234611742425,0.021383234611742425,0.0007718916046523708,0.000771891604652371,0.0007651049324070611,0.0007651049324070611,tree,0.020146694142730334,0.020146694142730334,0.021383234611742425,0.021383234611742425
,,20,,,,0.01935877456410227,0.01935877456410227,0.020295506609911407,0.020295506609911404,0.00045445058916490075,0.00045445058916490075,0.000543441727698297,0.000543441727698297,tree,0.01997422832425552,0.019974228324255522,0.020295506609911407,0.020295506609911404
,,21,,,,0.018906860171042556,0.01890686017104256,0.01948943436986864,0.01948943436986864,0.000275579085515485,0.000275579085515485,0.000371076452332801,0.00037107645233280107,tree,0.020023731096112985,0.02002373109611299,0.01948943436986864,0.01948943436986864
,,22,,,,0.018554659418731745,0.018554659418731745,0.0207307209653092,0.0207307209653092,0.00012811213737338984,0.00012811213737338984,0.00026301183203144006,0.00026301183203144006,tree,0.020146437710911135,0.02014643771091114,0.0207307209653092,0.0207307209653092
,,23,,,,0.01765938271604938,0.01765938271604938,0.021895960408834587,0.021895960408834583,5.181751467710368e-05,5.181751467710368e-05,0.00017576691821839568,0.00017576691821839568,tree,0.02007967136920385,0.020079671369203852,0.021895960408834587,0.021895960408834583
,,24,,,,0.0192456925534284,0.019245692553428402,0.021786702008928564,0.021786702008928568,2.4888192368622882e-05,2.4888192368622882e-05,0.0001323830178066059,0.0001323830178066059,tree,0.02040469286291137,0.02040469286291137,0.021786702008928564,0.021786702008928568
